iter	RMSE
0	0.2034123945
1	0.1931440905
2	0.1836095185
3	0.1745406842
4	0.1657478376
5	0.1576024971
6	0.150108919
7	0.1427136331
8	0.1357343027
9	0.1290180857
10	0.1227390227
11	0.1171106225
12	0.1115757048
13	0.1062121661
14	0.1014796094
15	0.09688245732
16	0.09235936982
17	0.08797133281
18	0.08395577658
19	0.08018414037
20	0.07655494309
21	0.07295746447
22	0.06961886081
23	0.06651333796
24	0.06355991824
25	0.06073739371
26	0.0579790943
27	0.05539379989
28	0.05296162025
29	0.05082188828
30	0.04869294024
31	0.0466120396
32	0.04468511325
33	0.04288325821
34	0.04122719073
35	0.03963874991
36	0.03812871116
37	0.03665104511
38	0.03534899841
39	0.03406149449
40	0.03283290334
41	0.03165225457
42	0.03058550804
43	0.02956424378
44	0.02856711995
45	0.027718622
46	0.02685000487
47	0.02603461968
48	0.02532421992
49	0.024653991
50	0.02396877564
51	0.02338380245
52	0.02280389496
53	0.02226716002
54	0.02173863644
55	0.02125386604
56	0.02079942704
57	0.02038372081
58	0.01999201974
59	0.01962535348
60	0.01929692399
61	0.01899355114
62	0.01869764119
63	0.01841849567
64	0.01815495128
65	0.01791298367
66	0.01767408131
67	0.01748034241
68	0.01728256533
69	0.01708739684
70	0.01691353103
71	0.01673409732
72	0.01658891303
73	0.01643862371
74	0.01629939901
75	0.01618752681
76	0.01608197812
77	0.01597817459
78	0.01585692752
79	0.015741634
80	0.01565037008
81	0.01556483425
82	0.01548706732
83	0.01540380119
84	0.01532562529
85	0.01524381597
86	0.01517575243
87	0.0151067346
88	0.01504986986
89	0.01500018024
90	0.01494943706
91	0.01488510725
92	0.01483442518
93	0.01478480153
94	0.01473808377
95	0.01469654112
96	0.0146565689
97	0.01461073392
98	0.0145806426
99	0.01454937066
100	0.01450817805
101	0.01445322541
102	0.01441576267
103	0.01437606017
104	0.01434404114
105	0.01430887883
106	0.01428747632
107	0.01425841941
108	0.01421285272
109	0.01417970438
110	0.01415103833
111	0.01413177236
112	0.0141086915
113	0.01407791631
114	0.01405866609
115	0.01404262256
116	0.01401196115
117	0.01399237131
118	0.01395461393
119	0.01394088763
120	0.01392719137
121	0.01389567978
122	0.01387025631
123	0.01385481704
124	0.01381369952
125	0.0137966962
126	0.01376328189
127	0.01373239905
128	0.01371423161
129	0.01370052628
130	0.01368822981
131	0.01367300775
132	0.01366090372
133	0.01363308536
134	0.01359981722
135	0.01357451157
136	0.01355900505
137	0.01353399637
138	0.01351264893
139	0.01350291644
140	0.01348470263
141	0.01345860038
142	0.01343714275
143	0.01342843684
144	0.01340268359
145	0.01339117319
146	0.01336518584
147	0.01335724776
148	0.01333976707
149	0.01331919954
150	0.01331206327
151	0.01330124242
152	0.01328354694
153	0.01326037747
154	0.01322637293
155	0.01320353229
156	0.01319072897
157	0.01316145183
158	0.0131360881
159	0.01311107803
160	0.01309492432
161	0.01307908911
162	0.01307075298
163	0.01305707191
164	0.0130329544
165	0.0130124809
166	0.01299214425
167	0.01298360035
168	0.01296481405
169	0.01295038532
170	0.01294446023
171	0.01291438888
172	0.0128947927
173	0.01287985148
174	0.01287598112
175	0.01286635743
176	0.01285473671
177	0.01283002618
178	0.01282402426
179	0.01280432708
180	0.0127756621
181	0.01275317146
182	0.01274408291
183	0.01273128795
184	0.01272539237
185	0.01270392
186	0.01269854518
187	0.01268857428
188	0.01268359489
189	0.01266459482
190	0.01264310924
191	0.01264056737
192	0.0126354925
193	0.01261484421
194	0.01259550316
195	0.01257550848
196	0.01254041604
197	0.01253827507
198	0.01252298745
199	0.01250226757
200	0.01249773869
201	0.01247499794
202	0.01245401435
203	0.01243478897
204	0.01241140619
205	0.01239157919
206	0.01237673622
207	0.01237460591
208	0.01236799558
209	0.01234953034
210	0.01233563528
211	0.01232241279
212	0.0123062085
213	0.01228940778
214	0.01228467149
215	0.01226631028
216	0.01226439663
217	0.01226137088
218	0.01224270749
219	0.01222680726
220	0.0122250612
221	0.01220515756
222	0.01217472823
223	0.01215758931
224	0.01214390893
225	0.01212972385
226	0.01210911697
227	0.01209427187
228	0.01207751214
229	0.01207332538
230	0.0120554955
231	0.01205282795
232	0.01203585207
233	0.0120221993
234	0.01200970881
235	0.0119935519
236	0.0119784038
237	0.01196327859
238	0.01194627086
239	0.01192986976
240	0.01192842734
241	0.01191418346
242	0.01190918051
243	0.01190383008
244	0.01188808546
245	0.01187726581
246	0.0118565066
247	0.0118505524
248	0.01183582469
249	0.01183331011
